                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8355,                 3.1031,                 2.3882,                0.89844,                0.72134,                0.80423,                0.49593,                 3.1739,                 1.5342,                 2.3114,              0.0033186,              0.0033186,              0.0033186
                      2,                 3.2432,                 1.5942,                 2.1511,                0.92483,                 0.7837,                0.86517,                0.57329,                 2.9277,                 1.4174,                 2.2604,              0.0066191,              0.0066191,              0.0066191
                      3,                   3.01,                 1.4304,                 2.0649,                0.93329,                0.81104,                 0.8929,                0.60519,                 2.8582,                 1.3822,                 2.2672,              0.0098867,              0.0098867,              0.0098867
                      4,                 2.8372,                 1.3121,                 1.9974,                0.94135,                0.82556,                0.90886,                 0.6389,                 2.7923,                 1.3607,                 2.2379,              0.0098519,              0.0098519,              0.0098519
                      5,                 2.7056,                 1.2318,                 1.9666,                0.93866,                0.84128,                0.91814,                0.65146,                 2.6911,                 1.2947,                 2.2227,              0.0098026,              0.0098026,              0.0098026
                      6,                  2.616,                 1.1878,                 1.9326,                0.95177,                0.84417,                0.92234,                0.66141,                 2.6936,                 1.2087,                 2.2492,              0.0097532,              0.0097532,              0.0097532
                      7,                 2.5448,                  1.145,                 1.9138,                0.94552,                0.84915,                0.92714,                0.67441,                 2.5976,                 1.3357,                 2.1828,              0.0097039,              0.0097039,              0.0097039
                      8,                 2.4951,                 1.1152,                  1.895,                0.94954,                0.86262,                0.93151,                 0.6829,                 2.5769,                 1.2955,                 2.1668,              0.0096545,              0.0096545,              0.0096545
                      9,                 2.4486,                 1.0962,                 1.8843,                0.95217,                0.86322,                0.93468,                0.68755,                 2.6348,                 1.3013,                 2.2245,              0.0096052,              0.0096052,              0.0096052
                     10,                 2.4117,                 1.0699,                 1.8688,                0.95119,                0.87158,                0.93915,                0.69655,                 2.5309,                 1.2943,                 2.1886,              0.0095558,              0.0095558,              0.0095558
                     11,                 2.3753,                 1.0541,                 1.8648,                0.94856,                0.87284,                0.94139,                0.69956,                 2.5152,                 1.2743,                 2.1547,              0.0095065,              0.0095065,              0.0095065
                     12,                  2.344,                 1.0335,                 1.8511,                0.95273,                0.87785,                0.94427,                0.70964,                 2.4991,                 1.2544,                 2.1557,              0.0094571,              0.0094571,              0.0094571
                     13,                 2.3337,                 1.0249,                 1.8456,                 0.9576,                0.87639,                0.94323,                0.71244,                 2.4395,                 1.1826,                 2.1275,              0.0094078,              0.0094078,              0.0094078
                     14,                 2.2911,                 1.0077,                 1.8408,                0.95733,                0.87683,                0.94352,                0.71061,                 2.4827,                 1.1824,                 2.1576,              0.0093585,              0.0093585,              0.0093585
                     15,                 2.2856,                 1.0008,                 1.8301,                0.95363,                0.88033,                0.94575,                0.71885,                 2.4235,                 1.1775,                 2.1214,              0.0093091,              0.0093091,              0.0093091
                     16,                 2.2467,                0.98429,                  1.826,                0.95833,                0.88398,                0.94794,                0.72349,                 2.4389,                 1.2292,                 2.1262,              0.0092598,              0.0092598,              0.0092598
                     17,                 2.2421,                0.98177,                 1.8238,                0.95867,                 0.8894,                0.95059,                0.72544,                 2.3594,                 1.1584,                 2.1065,              0.0092104,              0.0092104,              0.0092104
                     18,                 2.2266,                0.97517,                 1.8225,                0.95762,                0.88818,                0.95154,                0.72684,                 2.4304,                 1.1547,                 2.1229,              0.0091611,              0.0091611,              0.0091611
                     19,                  2.188,                0.95768,                  1.814,                0.95142,                0.89046,                0.95164,                0.73324,                 2.4154,                 1.1367,                 2.1578,              0.0091117,              0.0091117,              0.0091117
                     20,                 2.1902,                0.95747,                 1.8114,                0.95623,                 0.8901,                0.94971,                0.72555,                 2.4485,                  1.133,                 2.1413,              0.0090624,              0.0090624,              0.0090624
                     21,                 2.1789,                0.95127,                 1.8066,                0.96044,                0.88599,                 0.9509,                0.73164,                 2.4041,                 1.1072,                  2.138,               0.009013,               0.009013,               0.009013
                     22,                 2.1772,                0.94773,                 1.8039,                0.95657,                0.89279,                0.95222,                0.73637,                 2.3601,                 1.1005,                 2.1075,              0.0089637,              0.0089637,              0.0089637
                     23,                  2.151,                0.93824,                 1.8023,                 0.9592,                0.89182,                0.95305,                0.73938,                  2.406,                 1.1254,                 2.1099,              0.0089143,              0.0089143,              0.0089143
                     24,                 2.1413,                0.93372,                 1.7982,                0.96505,                0.89137,                0.95635,                0.74147,                 2.3378,                 1.1714,                 2.0742,              0.0088649,              0.0088649,              0.0088649
                     25,                 2.1189,                0.91857,                 1.7931,                0.96027,                0.89496,                0.95505,                0.74622,                 2.3136,                 1.1712,                 2.0825,              0.0088156,              0.0088156,              0.0088156
                     26,                 2.1052,                 0.9169,                  1.789,                0.96212,                0.89368,                0.95515,                0.74667,                 2.4025,                 1.1897,                 2.0905,              0.0087662,              0.0087662,              0.0087662
                     27,                 2.0935,                 0.9095,                 1.7876,                0.96272,                0.89203,                0.95645,                0.74577,                 2.3712,                 1.2172,                 2.1258,              0.0087169,              0.0087169,              0.0087169
                     28,                 2.0823,                0.90461,                 1.7853,                0.95805,                0.89962,                 0.9572,                0.74854,                 2.3187,                 1.1723,                 2.0778,              0.0086675,              0.0086675,              0.0086675
                     29,                 2.1007,                0.91061,                 1.7821,                0.96107,                0.89805,                0.95767,                0.75052,                 2.3183,                 1.1997,                 2.0937,              0.0086182,              0.0086182,              0.0086182
                     30,                 2.0762,                0.89864,                 1.7824,                0.96024,                0.90413,                0.95906,                0.75207,                 2.3565,                    1.1,                 2.1019,              0.0085689,              0.0085689,              0.0085689
                     31,                 2.0573,                0.89107,                 1.7759,                0.96424,                0.89822,                0.95841,                0.75455,                 2.2946,                 1.1663,                 2.0657,              0.0085195,              0.0085195,              0.0085195
                     32,                 2.0475,                0.89083,                 1.7762,                0.96385,                 0.9003,                0.95933,                0.75721,                 2.2838,                 1.1557,                 2.0565,              0.0084701,              0.0084701,              0.0084701
                     33,                 2.0457,                 0.8871,                 1.7783,                0.96152,                0.90319,                0.95895,                0.75463,                 2.2813,                 1.0831,                 2.0888,              0.0084208,              0.0084208,              0.0084208
                     34,                 2.0464,                0.88515,                 1.7714,                 0.9635,                0.90342,                0.95947,                0.76031,                 2.2837,                 1.1498,                 2.0622,              0.0083714,              0.0083714,              0.0083714
                     35,                 2.0373,                0.88046,                 1.7723,                0.96632,                0.90443,                0.96035,                0.75967,                 2.2833,                 1.1146,                 2.0749,              0.0083221,              0.0083221,              0.0083221
                     36,                  2.032,                0.87621,                 1.7677,                0.96306,                0.90296,                0.96103,                0.76212,                 2.2847,                 1.1092,                 2.0908,              0.0082728,              0.0082728,              0.0082728
                     37,                 2.0095,                0.86547,                 1.7667,                 0.9645,                0.90773,                0.96119,                 0.7607,                 2.3129,                 1.0907,                 2.1085,              0.0082234,              0.0082234,              0.0082234
                     38,                 2.0146,                0.86693,                 1.7654,                0.96466,                0.90407,                0.96013,                0.76037,                 2.2795,                 1.1481,                 2.0563,               0.008174,               0.008174,               0.008174
                     39,                 2.0004,                0.86204,                 1.7675,                0.96458,                 0.9058,                0.96139,                0.76448,                 2.2687,                 1.1528,                 2.0387,              0.0081247,              0.0081247,              0.0081247
