                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.654,                0.69385,                 1.6916,                0.96235,                0.90397,                0.95941,                0.75414,                 2.3266,                 1.1158,                 2.1331,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.629,                0.68481,                 1.6839,                0.96177,                0.90279,                0.95933,                0.75629,                 2.3172,                 1.1315,                 2.1221,               0.001307,               0.001307,               0.001307
                     37,                 1.6418,                  0.691,                 1.6899,                 0.9637,                0.90723,                0.96129,                0.75947,                 2.3091,                 1.2131,                 2.0941,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6187,                 0.6869,                 1.6852,                0.96172,                0.90552,                0.96001,                0.75736,                 2.3087,                 1.1335,                 2.1027,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6054,                0.67482,                 1.6807,                0.96521,                0.90438,                0.96067,                0.76127,                 2.3027,                 1.1747,                 2.0796,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5875,                0.66532,                 1.6817,                0.96224,                0.90308,                0.95994,                0.76135,                 2.3216,                 1.1876,                 2.1037,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5599,                0.65448,                 1.6755,                 0.9647,                0.90758,                0.96162,                0.76134,                 2.3289,                  1.206,                 2.1326,               0.001208,               0.001208,               0.001208
                     42,                 1.5732,                0.66018,                 1.6732,                0.96571,                0.90522,                0.96081,                0.76101,                 2.3086,                 1.1388,                  2.111,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5676,                0.65445,                 1.6683,                0.96719,                0.90732,                 0.9624,                0.76317,                 2.2777,                  1.136,                 2.0899,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5615,                0.65443,                 1.6701,                0.96787,                0.90573,                0.96188,                0.76222,                 2.2641,                 1.0807,                 2.0833,              0.0011486,              0.0011486,              0.0011486
                     45,                   1.55,                0.64768,                 1.6711,                0.96558,                0.90995,                0.96259,                0.76484,                 2.2949,                  1.136,                  2.125,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5388,                0.65507,                 1.6719,                0.96551,                0.90842,                0.96109,                0.76199,                 2.2889,                 1.1607,                 2.1141,               0.001109,               0.001109,               0.001109
                     47,                  1.545,                0.65026,                 1.6706,                0.96668,                0.91111,                0.96372,                0.76846,                 2.2437,                  1.127,                 2.0759,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5373,                0.64289,                  1.667,                0.96793,                0.90901,                0.96362,                0.76766,                  2.292,                 1.1936,                 2.1075,              0.0010694,              0.0010694,              0.0010694
