                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9572,                0.84532,                 1.7313,                0.95829,                0.87462,                0.94604,                0.72607,                 2.4475,                 1.2254,                 2.0562,               0.007756,               0.007756,               0.007756
                     36,                 1.9239,                0.83667,                 1.7203,                0.95743,                0.88003,                0.94699,                0.72686,                 2.5026,                 1.3087,                 2.1671,                0.00769,                0.00769,                0.00769
                     37,                  1.913,                0.82425,                 1.7213,                0.95381,                0.87856,                0.94601,                0.72283,                 2.4658,                  1.266,                 2.0825,               0.007624,               0.007624,               0.007624
                     38,                 1.9219,                0.82812,                 1.7189,                0.95627,                0.88228,                0.94774,                0.72941,                 2.4543,                 1.3642,                 2.1149,               0.007558,               0.007558,               0.007558
                     39,                 1.8937,                0.81553,                 1.7175,                0.95685,                0.88336,                 0.9489,                0.72864,                 2.4732,                 1.2391,                 2.1211,               0.007492,               0.007492,               0.007492
                     40,                 1.8893,                0.81775,                 1.7221,                0.95454,                0.88064,                0.94699,                0.72872,                 2.5027,                 1.2364,                 2.1249,               0.007426,               0.007426,               0.007426
                     41,                 1.8712,                 0.8064,                 1.7135,                0.96081,                0.88352,                0.94928,                0.73115,                 2.4688,                 1.2638,                 2.1237,                0.00736,                0.00736,                0.00736
                     42,                 1.9002,                 0.8185,                 1.7155,                0.95678,                0.88534,                 0.9487,                0.72986,                 2.4548,                 1.2205,                 2.0706,               0.007294,               0.007294,               0.007294
                     43,                 1.8617,                 0.8015,                 1.7053,                0.95456,                0.88681,                0.94919,                0.73428,                 2.4379,                 1.2259,                 2.0812,               0.007228,               0.007228,               0.007228
                     44,                 1.8832,                0.80758,                 1.7097,                0.95392,                0.88764,                0.95019,                 0.7357,                 2.4719,                 1.1734,                  2.109,               0.007162,               0.007162,               0.007162
                     45,                 1.8414,                0.79254,                 1.7065,                0.95633,                0.88679,                0.95078,                0.73718,                 2.4883,                 1.2611,                 2.1042,               0.007096,               0.007096,               0.007096
                     46,                 1.8564,                0.80809,                 1.7083,                0.95731,                0.88474,                   0.95,                0.73533,                 2.4851,                 1.1801,                 2.1084,                0.00703,                0.00703,                0.00703
                     47,                 1.8342,                0.79494,                 1.7061,                0.96195,                0.88195,                0.95072,                0.73838,                 2.4524,                  1.194,                 2.0571,               0.006964,               0.006964,               0.006964
                     48,                 1.8314,                0.78808,                 1.7063,                0.95477,                0.89232,                0.95094,                0.73694,                 2.5065,                  1.261,                 2.1304,               0.006898,               0.006898,               0.006898
                     49,                 1.8125,                0.78259,                 1.7033,                0.96163,                0.88306,                0.94832,                0.73136,                 2.3714,                 1.2028,                 2.0058,               0.006832,               0.006832,               0.006832
                     50,                  1.807,                 0.7817,                 1.7034,                0.95867,                0.88883,                0.95109,                0.73688,                  2.427,                 1.2002,                  2.055,               0.006766,               0.006766,               0.006766
                     51,                 1.7957,                0.77444,                 1.6991,                0.96011,                0.88889,                0.95174,                0.74068,                 2.4686,                 1.2741,                 2.0744,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.7746,                  0.765,                 1.6974,                0.95788,                0.89036,                0.95192,                  0.739,                 2.4284,                 1.2612,                 2.0586,               0.006634,               0.006634,               0.006634
