                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9635,                  1.623,                 1.8928,                0.62046,                0.65676,                 0.6579,                 0.4597,                 2.7583,                 2.3946,                 2.1508,               0.006634,               0.006634,               0.006634
                     36,                 1.9306,                 1.5709,                 1.8806,                0.60492,                0.66616,                0.65699,                0.45711,                 2.7578,                 2.3969,                 2.1496,               0.006535,               0.006535,               0.006535
                     37,                 1.9381,                  1.564,                 1.8824,                 0.6034,                 0.6579,                0.65787,                0.46034,                 2.7573,                 2.4069,                 2.1499,               0.006436,               0.006436,               0.006436
                     38,                 1.9239,                 1.5435,                 1.8718,                0.61433,                0.64916,                0.65483,                0.45541,                 2.7624,                 2.4054,                 2.1515,               0.006337,               0.006337,               0.006337
                     39,                  1.915,                 1.5379,                 1.8759,                0.61139,                0.65456,                0.65463,                0.45509,                 2.7656,                 2.4089,                 2.1529,               0.006238,               0.006238,               0.006238
                     40,                 1.9151,                 1.5173,                 1.8727,                0.62939,                0.64375,                 0.6545,                0.45606,                 2.7647,                 2.4059,                 2.1509,               0.006139,               0.006139,               0.006139
                     41,                 1.9159,                 1.5059,                 1.8708,                0.62314,                0.65542,                0.65629,                0.45694,                 2.7633,                 2.4043,                 2.1517,                0.00604,                0.00604,                0.00604
                     42,                 1.8982,                  1.475,                 1.8671,                0.62866,                0.64958,                0.65706,                0.46101,                 2.7621,                 2.4059,                 2.1505,               0.005941,               0.005941,               0.005941
                     43,                 1.8744,                 1.4542,                 1.8571,                0.63014,                0.65384,                0.65926,                  0.462,                 2.7608,                 2.4071,                 2.1499,               0.005842,               0.005842,               0.005842
                     44,                 1.8718,                 1.4342,                 1.8573,                0.62395,                 0.6615,                0.65979,                0.46229,                 2.7622,                 2.4027,                 2.1493,               0.005743,               0.005743,               0.005743
                     45,                 1.8703,                 1.4287,                 1.8556,                0.62674,                0.65707,                0.65985,                0.46206,                 2.7614,                 2.4058,                  2.149,               0.005644,               0.005644,               0.005644
                     46,                 1.8561,                 1.4081,                 1.8514,                0.62328,                0.65746,                0.65864,                0.46359,                 2.7616,                 2.4084,                 2.1503,               0.005545,               0.005545,               0.005545
                     47,                 1.8494,                  1.398,                 1.8468,                0.62116,                0.66094,                0.65988,                0.46113,                 2.7652,                 2.4083,                 2.1525,               0.005446,               0.005446,               0.005446
                     48,                  1.848,                  1.394,                 1.8455,                0.62388,                0.65991,                0.66004,                0.46257,                  2.764,                 2.4088,                 2.1535,               0.005347,               0.005347,               0.005347
                     49,                 1.8378,                 1.3631,                 1.8405,                0.62659,                0.65813,                0.66113,                0.46356,                 2.7684,                 2.4005,                 2.1547,               0.005248,               0.005248,               0.005248
                     50,                 1.8301,                 1.3559,                 1.8416,                0.62813,                0.66129,                0.66343,                0.46517,                 2.7675,                  2.398,                 2.1548,               0.005149,               0.005149,               0.005149
                     51,                  1.824,                 1.3443,                 1.8364,                0.62482,                0.66223,                0.66366,                0.46508,                 2.7704,                 2.3948,                 2.1557,                0.00505,                0.00505,                0.00505
                     52,                 1.8196,                 1.3165,                 1.8362,                 0.6248,                 0.6633,                0.66437,                0.46543,                 2.7718,                  2.395,                 2.1553,               0.004951,               0.004951,               0.004951
                     53,                 1.8055,                 1.3061,                 1.8313,                0.62497,                0.66636,                0.66487,                0.46516,                 2.7728,                 2.3959,                 2.1557,               0.004852,               0.004852,               0.004852
                     54,                 1.7803,                 1.2803,                 1.8255,                0.62702,                0.66532,                0.66411,                0.46423,                 2.7714,                 2.3997,                 2.1562,               0.004753,               0.004753,               0.004753
                     55,                 1.7995,                 1.2749,                 1.8256,                0.66113,                0.62858,                  0.664,                0.46408,                 2.7716,                 2.4016,                 2.1563,               0.004654,               0.004654,               0.004654
                     56,                 1.7853,                 1.2627,                 1.8273,                0.62715,                0.66103,                0.66391,                0.46977,                 2.7752,                    2.4,                 2.1567,               0.004555,               0.004555,               0.004555
                     57,                 1.7712,                 1.2592,                 1.8168,                0.63882,                0.65113,                0.66381,                0.46937,                 2.7757,                 2.4005,                 2.1578,               0.004456,               0.004456,               0.004456
                     58,                 1.7507,                  1.236,                 1.8191,                 0.6399,                 0.6507,                 0.6631,                0.46935,                 2.7754,                 2.4026,                 2.1584,               0.004357,               0.004357,               0.004357
                     59,                 1.7573,                 1.2265,                 1.8122,                 0.6923,                0.61459,                0.66374,                0.47051,                 2.7786,                 2.4007,                 2.1594,               0.004258,               0.004258,               0.004258
                     60,                 1.7481,                 1.2048,                 1.8084,                0.64491,                 0.6462,                0.66467,                0.47077,                 2.7786,                 2.4024,                 2.1586,               0.004159,               0.004159,               0.004159
                     61,                 1.7433,                 1.2072,                 1.8043,                0.64729,                0.64658,                0.66435,                0.47047,                 2.7816,                 2.4035,                 2.1592,                0.00406,                0.00406,                0.00406
                     62,                 1.7263,                 1.1798,                  1.808,                0.67811,                0.63488,                0.66412,                0.46967,                 2.7833,                  2.405,                  2.159,               0.003961,               0.003961,               0.003961
                     63,                 1.7058,                 1.1557,                  1.796,                0.65211,                0.64702,                0.66407,                0.46962,                 2.7849,                 2.4047,                 2.1598,               0.003862,               0.003862,               0.003862
                     64,                  1.711,                 1.1488,                  1.796,                 0.6394,                 0.6537,                0.66469,                0.46967,                 2.7855,                 2.4069,                 2.1597,               0.003763,               0.003763,               0.003763
                     65,                 1.6943,                 1.1301,                 1.7948,                0.63755,                0.65484,                0.66523,                0.46909,                 2.7863,                 2.4098,                 2.1596,               0.003664,               0.003664,               0.003664
                     66,                 1.7005,                 1.1324,                 1.7932,                0.63356,                0.65655,                0.66475,                0.46901,                 2.7877,                 2.4132,                 2.1595,               0.003565,               0.003565,               0.003565
                     67,                 1.6761,                 1.1079,                 1.7901,                 0.6354,                0.65342,                0.66468,                0.46929,                 2.7887,                 2.4196,                 2.1604,               0.003466,               0.003466,               0.003466
                     68,                 1.6682,                 1.0907,                 1.7878,                0.64368,                0.64582,                0.66463,                0.46991,                 2.7901,                 2.4201,                 2.1604,               0.003367,               0.003367,               0.003367
                     69,                 1.6639,                 1.0858,                 1.7835,                0.64562,                0.64165,                0.66537,                 0.4663,                 2.7911,                  2.424,                 2.1609,               0.003268,               0.003268,               0.003268
                     70,                 1.6567,                 1.0711,                 1.7823,                0.64011,                0.64441,                0.66451,                0.46537,                 2.7948,                 2.4263,                 2.1617,               0.003169,               0.003169,               0.003169
                     71,                 1.6487,                 1.0707,                 1.7818,                0.63993,                0.64447,                0.66397,                0.46486,                 2.7976,                 2.4295,                 2.1621,                0.00307,                0.00307,                0.00307
                     72,                 1.6284,                 1.0421,                 1.7746,                0.65484,                0.63363,                0.66373,                 0.4637,                  2.799,                 2.4362,                 2.1643,               0.002971,               0.002971,               0.002971
                     73,                 1.6282,                 1.0357,                 1.7734,                0.66007,                0.63003,                0.66474,                0.46467,                 2.8007,                 2.4387,                 2.1651,               0.002872,               0.002872,               0.002872
                     74,                  1.611,                 1.0108,                  1.766,                0.69047,                0.61399,                0.66439,                0.46423,                 2.8031,                 2.4449,                 2.1656,               0.002773,               0.002773,               0.002773
                     75,                 1.6036,                 1.0014,                 1.7622,                0.64009,                0.64255,                0.66249,                0.46305,                 2.8061,                 2.4509,                  2.166,               0.002674,               0.002674,               0.002674
                     76,                 1.5986,                0.99437,                 1.7604,                0.65541,                 0.6271,                0.66154,                0.46228,                 2.8075,                 2.4579,                  2.167,               0.002575,               0.002575,               0.002575
                     77,                 1.5747,                0.97658,                 1.7559,                0.66923,                0.60906,                0.66095,                0.46345,                  2.811,                 2.4636,                 2.1694,               0.002476,               0.002476,               0.002476
                     78,                 1.5774,                0.97406,                 1.7557,                0.65687,                 0.6215,                0.66193,                0.46296,                 2.8132,                 2.4695,                 2.1708,               0.002377,               0.002377,               0.002377
                     79,                 1.5576,                0.95819,                 1.7504,                0.64521,                0.63053,                0.66132,                0.46183,                 2.8161,                 2.4797,                  2.172,               0.002278,               0.002278,               0.002278
                     80,                 1.5528,                0.94592,                 1.7483,                0.66645,                0.61597,                0.66099,                0.46122,                 2.8182,                  2.486,                 2.1721,               0.002179,               0.002179,               0.002179
                     81,                 1.5372,                0.92808,                 1.7457,                0.64251,                0.62527,                0.65293,                0.45065,                 2.8201,                 2.4945,                 2.1723,                0.00208,                0.00208,                0.00208
                     82,                 1.5226,                0.91793,                 1.7398,                0.74389,                0.55744,                0.66202,                0.46162,                 2.8233,                 2.5046,                 2.1734,               0.001981,               0.001981,               0.001981
                     83,                 1.5239,                0.90903,                 1.7425,                0.61493,                0.63546,                0.66066,                0.46018,                 2.8263,                  2.511,                 2.1752,               0.001882,               0.001882,               0.001882
                     84,                 1.4982,                0.89507,                 1.7385,                0.69075,                0.59053,                 0.6613,                0.46122,                 2.8295,                 2.5193,                 2.1755,               0.001783,               0.001783,               0.001783
                     85,                 1.4987,                0.88345,                 1.7326,                0.70463,                0.59432,                0.65994,                0.45616,                 2.8303,                 2.5345,                 2.1762,               0.001684,               0.001684,               0.001684
                     86,                 1.4893,                0.87082,                 1.7303,                0.67529,                0.62719,                0.65925,                0.45615,                 2.8311,                 2.5492,                 2.1762,               0.001585,               0.001585,               0.001585
                     87,                 1.4667,                0.85511,                 1.7245,                0.66292,                0.61944,                0.65893,                0.45588,                 2.8328,                 2.5602,                 2.1772,               0.001486,               0.001486,               0.001486
                     88,                 1.4529,                0.85038,                 1.7228,                0.66404,                 0.6104,                0.65668,                0.45441,                 2.8358,                 2.5709,                 2.1778,               0.001387,               0.001387,               0.001387
                     89,                 1.4553,                0.83995,                 1.7212,                0.66074,                0.61331,                 0.6572,                0.45467,                 2.8373,                 2.5828,                 2.1794,               0.001288,               0.001288,               0.001288
