                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7083,                0.71964,                 1.6956,                0.96177,                0.89533,                0.95599,                0.74454,                 2.3479,                 1.2101,                  2.098,                0.00769,                0.00769,                0.00769
                     37,                 1.6953,                0.71148,                 1.6979,                0.96207,                0.89704,                0.95532,                0.74346,                  2.354,                  1.137,                  2.097,               0.007624,               0.007624,               0.007624
                     38,                 1.7018,                 0.7116,                  1.697,                  0.963,                0.89594,                0.95551,                  0.744,                 2.3398,                 1.1228,                 2.1132,               0.007558,               0.007558,               0.007558
                     39,                 1.6642,                0.69675,                 1.6914,                0.96109,                0.89903,                0.95639,                0.74435,                 2.3351,                 1.1583,                 2.0798,               0.007492,               0.007492,               0.007492
                     40,                 1.6724,                0.69807,                  1.695,                0.96079,                0.90183,                0.95651,                0.74698,                 2.3345,                 1.1201,                 2.1043,               0.007426,               0.007426,               0.007426
                     41,                 1.6502,                0.68969,                 1.6878,                 0.9653,                0.90053,                0.95849,                0.74858,                  2.287,                 1.1429,                 2.0458,                0.00736,                0.00736,                0.00736
                     42,                  1.654,                 0.6906,                 1.6872,                0.96188,                0.90168,                  0.957,                0.74641,                 2.3247,                  1.115,                 2.0582,               0.007294,               0.007294,               0.007294
                     43,                 1.6558,                0.68843,                 1.6836,                0.96331,                  0.901,                0.95858,                0.74849,                 2.3039,                 1.1382,                 2.0714,               0.007228,               0.007228,               0.007228
                     44,                 1.6493,                0.68907,                 1.6844,                0.96194,                0.90188,                0.95878,                0.75069,                 2.3171,                 1.1384,                 2.0482,               0.007162,               0.007162,               0.007162
                     45,                 1.6397,                0.68261,                 1.6831,                0.96164,                 0.9023,                0.95789,                 0.7507,                 2.3221,                 1.1201,                 2.1031,               0.007096,               0.007096,               0.007096
                     46,                 1.6378,                0.68531,                 1.6859,                0.96458,                0.90144,                0.95872,                0.75007,                  2.372,                 1.0971,                 2.1059,                0.00703,                0.00703,                0.00703
                     47,                 1.6485,                0.68791,                  1.686,                0.96153,                0.90089,                 0.9589,                0.75294,                 2.3487,                 1.1296,                 2.0921,               0.006964,               0.006964,               0.006964
                     48,                 1.6134,                 0.6725,                  1.678,                 0.9644,                0.89972,                0.95831,                0.75207,                 2.3264,                 1.1286,                 2.1055,               0.006898,               0.006898,               0.006898
                     49,                 1.5939,                0.66627,                 1.6813,                0.96246,                0.90382,                0.95965,                0.75544,                 2.3245,                  1.103,                 2.0769,               0.006832,               0.006832,               0.006832
                     50,                 1.6029,                0.66855,                  1.679,                0.96565,                0.90226,                0.95957,                0.75371,                 2.2993,                 1.1279,                 2.0692,               0.006766,               0.006766,               0.006766
                     51,                 1.5987,                0.66716,                 1.6771,                 0.9663,                0.90147,                0.96018,                0.75531,                 2.2822,                 1.1524,                 2.0536,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.5694,                0.65486,                 1.6764,                0.96719,                 0.9028,                0.96052,                0.75645,                 2.2955,                 1.1568,                 2.0901,               0.006634,               0.006634,               0.006634
                     53,                 1.5866,                0.66152,                  1.674,                0.96378,                0.90271,                0.95949,                0.75726,                 2.2841,                 1.1234,                 2.0887,               0.006568,               0.006568,               0.006568
                     54,                 1.5702,                0.65485,                  1.673,                0.96477,                0.90347,                0.96029,                0.75821,                 2.2877,                 1.1349,                 2.0925,               0.006502,               0.006502,               0.006502
                     55,                  1.563,                0.65024,                 1.6718,                0.96495,                0.90446,                 0.9605,                0.75862,                 2.2563,                 1.1611,                  2.068,               0.006436,               0.006436,               0.006436
                     56,                 1.5575,                0.64943,                 1.6733,                0.96307,                0.90428,                0.96145,                 0.7608,                 2.2675,                 1.1477,                 2.0934,                0.00637,                0.00637,                0.00637
                     57,                 1.5533,                0.64822,                  1.671,                0.96325,                0.90595,                0.96101,                0.75968,                 2.3106,                  1.144,                 2.1045,               0.006304,               0.006304,               0.006304
                     58,                 1.5449,                0.64817,                 1.6689,                0.96646,                0.90337,                 0.9606,                0.76008,                 2.3032,                 1.0986,                 2.0816,               0.006238,               0.006238,               0.006238
                     59,                 1.5539,                0.64715,                 1.6714,                 0.9628,                0.90795,                0.96183,                0.76174,                 2.3015,                 1.0889,                 2.0981,               0.006172,               0.006172,               0.006172
                     60,                 1.5351,                0.64143,                 1.6696,                0.96641,                0.90878,                0.96271,                0.76337,                  2.324,                 1.0954,                 2.1063,               0.006106,               0.006106,               0.006106
                     61,                 1.5351,                0.64053,                  1.669,                0.96434,                0.90681,                0.96079,                0.76166,                 2.2758,                 1.1065,                 2.0769,                0.00604,                0.00604,                0.00604
                     62,                 1.5337,                0.64374,                 1.6683,                 0.9639,                0.90802,                0.96192,                0.76226,                 2.2994,                 1.0687,                 2.0739,               0.005974,               0.005974,               0.005974
                     63,                 1.5586,                 0.6508,                 1.6707,                0.96879,                0.90499,                0.96174,                0.76172,                 2.2881,                  1.087,                 2.0807,               0.005908,               0.005908,               0.005908
                     64,                 1.5193,                0.63171,                 1.6681,                0.96489,                0.90564,                0.96161,                0.76452,                 2.2863,                 1.0562,                 2.0811,               0.005842,               0.005842,               0.005842
                     65,                 1.5272,                0.63605,                 1.6678,                0.96489,                0.90837,                0.96215,                0.76385,                 2.3355,                 1.1116,                 2.1082,               0.005776,               0.005776,               0.005776
                     66,                 1.5098,                0.62975,                 1.6625,                0.96453,                 0.9099,                0.96226,                0.76462,                 2.2912,                  1.094,                 2.0567,                0.00571,                0.00571,                0.00571
                     67,                 1.5128,                 0.6306,                 1.6652,                0.96413,                0.90884,                0.96226,                0.76569,                 2.2848,                 1.1332,                  2.097,               0.005644,               0.005644,               0.005644
                     68,                  1.479,                0.61817,                 1.6606,                0.96588,                0.91081,                0.96305,                0.76656,                 2.3043,                  1.103,                 2.1068,               0.005578,               0.005578,               0.005578
                     69,                 1.5095,                0.62825,                  1.664,                0.96706,                0.90799,                0.96283,                 0.7666,                 2.2824,                 1.1351,                 2.0841,               0.005512,               0.005512,               0.005512
                     70,                   1.52,                0.63121,                 1.6689,                0.96553,                0.90891,                0.96234,                 0.7663,                 2.2694,                  1.161,                 2.0868,               0.005446,               0.005446,               0.005446
                     71,                 1.4816,                0.61732,                 1.6591,                0.96424,                0.91039,                0.96285,                0.76608,                 2.2646,                 1.1063,                 2.0677,                0.00538,                0.00538,                0.00538
                     72,                 1.4711,                0.61342,                 1.6594,                0.96495,                0.91006,                 0.9643,                0.76877,                 2.2841,                 1.0788,                 2.1037,               0.005314,               0.005314,               0.005314
                     73,                 1.4812,                0.61645,                 1.6595,                0.96659,                0.90843,                0.96289,                0.76758,                  2.274,                 1.1252,                 2.1086,               0.005248,               0.005248,               0.005248
                     74,                 1.4865,                0.62152,                 1.6623,                0.96435,                0.90908,                0.96283,                0.76663,                 2.2843,                 1.0985,                 2.1347,               0.005182,               0.005182,               0.005182
                     75,                 1.4808,                0.61938,                 1.6602,                0.96509,                0.90949,                0.96331,                0.76914,                 2.2371,                 1.1001,                 2.0634,               0.005116,               0.005116,               0.005116
                     76,                 1.4577,                0.60689,                  1.659,                0.96819,                0.90974,                 0.9638,                0.77084,                  2.283,                  1.103,                  2.088,                0.00505,                0.00505,                0.00505
                     77,                 1.4617,                0.61113,                 1.6578,                0.96687,                0.91146,                0.96413,                0.76956,                 2.2623,                 1.0677,                 2.0941,               0.004984,               0.004984,               0.004984
                     78,                 1.4599,                0.60977,                 1.6526,                0.96805,                0.91035,                0.96409,                0.77089,                  2.287,                 1.0598,                 2.1008,               0.004918,               0.004918,               0.004918
                     79,                 1.4643,                0.60847,                 1.6555,                0.96844,                0.91081,                0.96513,                0.77257,                 2.2684,                 1.0541,                 2.1073,               0.004852,               0.004852,               0.004852
                     80,                 1.4768,                0.61317,                 1.6601,                0.97049,                0.90899,                0.96521,                0.77244,                 2.2728,                 1.0328,                 2.1157,               0.004786,               0.004786,               0.004786
                     81,                  1.447,                0.60102,                 1.6518,                0.96895,                0.91055,                0.96537,                0.77293,                 2.2946,                 1.0434,                 2.1124,                0.00472,                0.00472,                0.00472
                     82,                 1.4479,                0.60125,                 1.6521,                0.96705,                 0.9122,                0.96501,                0.77278,                 2.2877,                 1.0512,                  2.086,               0.004654,               0.004654,               0.004654
